id,auditUnterpunkt,paket,zielverhalten,betroffeneDateien,verantwortlicheRolle,status,fixCommit,regressionstest,ciAbnahmenachweis,reviewUrls
AUD-14,R5 F4 adjustierte Koeffizienten,A04/A06,Disclosure zeigt vorhandene Werte,apps/web/src/routes/insights/signal/[id]/+page.svelte; apps/web/src/lib/components/insights/SymptomCooccurrenceHeatmap.svelte; apps/web/src/lib/components/insights/SignalScatter.svelte,Backend + Frontend / Produkt; Frontend / Produkt,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128082']
AUD-15,R5 Scatter ohne Unterstützung,A06,Composite-/Missing-Fall,apps/web/src/routes/insights/signal/[id]/+page.svelte; apps/web/src/lib/components/insights/SymptomCooccurrenceHeatmap.svelte; apps/web/src/lib/components/insights/SignalScatter.svelte,Frontend / Produkt,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/971#discussion_r4057288840']
AUD-16,R6 falsche Tagesfenster 14→7 / 28→30,A07,API-Datumsgrenzen entsprechen UI,apps/web/src/routes/insights/+page.svelte; apps/web/src/routes/trends/+page.svelte; apps/web/src/lib/components/trends/TrendsComparePanel.svelte,Frontend + Backend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-17,R6 veraltete Responses,A07,deterministischer Race-Test,apps/web/src/routes/insights/+page.svelte; apps/web/src/routes/trends/+page.svelte; apps/web/src/lib/components/trends/TrendsComparePanel.svelte,Frontend + Backend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-18,R6 Preference-Reihenfolge / verschluckte Fehler,A07,Persistenz-/Retry-/Reload-Test,apps/web/src/routes/insights/+page.svelte; apps/web/src/routes/trends/+page.svelte; apps/web/src/lib/components/trends/TrendsComparePanel.svelte,Frontend + Backend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-19,R6 vollständiges Paar / sichtbare Fokussierung,A08,"echte Journey, beide Pin-Arten/-Reihenfolgen",apps/web/src/routes/insights/+page.svelte; apps/web/src/routes/trends/+page.svelte; apps/web/src/lib/components/trends/TrendsComparePanel.svelte,Frontend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/971#discussion_r4057288839']
AUD-20,R6 Work-Context / ESM-Partner,A08,Partner erhalten und sichtbar,apps/web/src/routes/insights/+page.svelte; apps/web/src/routes/trends/+page.svelte; apps/web/src/lib/components/trends/TrendsComparePanel.svelte,Frontend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,"['https://github.com/Sturmi77/correlcore/pull/971#discussion_r4057288833', 'https://github.com/Sturmi77/correlcore/pull/971#discussion_r4057288837']"
AUD-21,R6 Load-Fehler als fehlender Befund,A07/A08,Netzwerkfehler separat,apps/web/src/routes/insights/+page.svelte; apps/web/src/routes/trends/+page.svelte; apps/web/src/lib/components/trends/TrendsComparePanel.svelte,Frontend + Backend; Frontend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/971#discussion_r4057288842']
AUD-22,R7 nicht gemounteter Short-Window-State,A07,Elternscreen-Test,apps/web/src/lib/components/insights/TagCooccurrenceHeatmap.svelte; backend/app/services/stats_service.py,Frontend + Backend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/970#discussion_r4057279391']
AUD-23,R7 leeres Fenster ohne Flag,A07,Backend-Frühreturn-Test,apps/web/src/lib/components/insights/TagCooccurrenceHeatmap.svelte; backend/app/services/stats_service.py,Frontend + Backend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/970#discussion_r4057279392']
AUD-24,R8 Stress-Richtung / Skalenkonsistenz,A04,"Rohwert, Text, Achse und Pfeil konsistent",backend/app/services/insights/belastung.py; apps/web/src/lib/components/insights/BelastungOverlay.svelte,Backend + Frontend / Produkt,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-25,R8 unbelegte gemeinsame Belastung,A04,Text entspricht gemessener Größe,backend/app/services/insights/belastung.py; apps/web/src/lib/components/insights/BelastungOverlay.svelte,Backend + Frontend / Produkt,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-26,R9 Windows-Zeitzone,A09,Windows + Linux,backend/app/services/insight_service.py; apps/web/src/lib/i18n/locales/de.json; apps/web/src/lib/i18n/locales/en.json,Backend + Frontend / Lokalisierung,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-27,R9 doppelte Locale-Keys,A09,Parserprüfung vor Überschreiben,backend/app/services/insight_service.py; apps/web/src/lib/i18n/locales/de.json; apps/web/src/lib/i18n/locales/en.json,Backend + Frontend / Lokalisierung,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-28,R9 irreführende Export-Copy,A05/A09,DE/EN für alle Formate,backend/app/services/insight_service.py; apps/web/src/lib/i18n/locales/de.json; apps/web/src/lib/i18n/locales/en.json,Backend + Frontend / Security; Backend + Frontend / Lokalisierung,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-29,R9 keine direkten CSV-Tests,A05,echte Serialisierung getestet,backend/app/services/insight_service.py; apps/web/src/lib/i18n/locales/de.json; apps/web/src/lib/i18n/locales/en.json,Backend + Frontend / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-30,R9 Parameter-only-Detailnavigation,A08,Router-Reproduktion/Fix oder Gegenbeleg,backend/app/services/insight_service.py; apps/web/src/lib/i18n/locales/de.json; apps/web/src/lib/i18n/locales/en.json,Frontend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-31,Wartbarkeit: doppelte Vertragslogik,A03/A04/A05,gemeinsame Fixtures/Adapter/Reportmodell,backend/app/services/insight_service.py; apps/web/src/routes/insights/+page.svelte; apps/web/src/routes/insights/report/+page.svelte,Backend + Frontend; Backend + Frontend / Produkt; Backend + Frontend / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-32,Wartbarkeit: überladene Routen,A07/A08,"getrennte Request-/Kontextlogik, Verhaltenstests",backend/app/services/insight_service.py; apps/web/src/routes/insights/+page.svelte; apps/web/src/routes/insights/report/+page.svelte,Frontend + Backend; Frontend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-33,Wartbarkeit: generische Payloads,A04,familienbezogener Vertrag mit Legacy-Adapter,backend/app/services/insight_service.py; apps/web/src/routes/insights/+page.svelte; apps/web/src/routes/insights/report/+page.svelte,Backend + Frontend / Produkt,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-34,Tests spiegeln falsche Implementierung,A01/A03/A07/A10,fachliche Integrationserwartungen,backend/tests; apps/web/src; apps/web/tests/e2e,Backend / Datenbank; Backend + Frontend; Frontend + Backend; Release-Verantwortung / CI / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-35,Zu früher Review-/Issue-Closeout,A00/A11,Register und finale SHA-Review,docs/frontend/INSIGHT_SURFACE_LAYERS_ROLLOUT_PLAN.md; docs/adr/0043-insight-surface-layers.md,Release-Verantwortung; Release-Verantwortung / Produkt,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/970#discussion_r4057279394']
AUD-36,Doku- und Supportmatrix-Drift,A11,Status entspricht Evidenz,DESIGN_DOCUMENT.md; docs/adr/0043-insight-surface-layers.md,Release-Verantwortung / Produkt,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128097']
AUD-37,Fehlende Build-/DB-/E2E-/visuelle Nachweise,A10,sauberer finaler Kandidatenlauf,.github/workflows; backend/tests; apps/web/tests/e2e,Release-Verantwortung / CI / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/971#discussion_r4057288844']
AUD-38,Nicht blockierende DAST-/Image-Checks,A10,ausdrückliche Gate-Policy und echte Befundbehandlung,.github/workflows,Release-Verantwortung / CI / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-39,Fehlende Advisory-/Runtime-/Geräte-Abnahme,A10/A12,aktuelle Prüfergebnisse / externe Sign-offs,.github/workflows; backend/tests; apps/web/tests/e2e,Release-Verantwortung / CI / Security; Release-Verantwortung / Betrieb / Geräte-QA,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-40,Interviews und Owner-/Play-Abnahmen,A12,ursprüngliche Akzeptanzkriterien erfüllt,Zuordnung in A11 prüfen,Release-Verantwortung / Betrieb / Geräte-QA,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128068']
