pr,url,art,pfadImReview,auditZuordnung,zuordnungTyp,threadId,isResolved,technischerStatus,fixCommit,testOderGegenbeleg,kurztext,abschlussgruppe,abschlussstatus,abschlussnachweis
973,https://github.com/Sturmi77/correlcore/pull/973#discussion_r4062351444,Inline,backend/app/services/insight_service.py,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kW-hS,true,offen – Fix/Regressionstest prüfen,,,**<sub><sub>![P1 Badge](https://img.shields.io/badge/P1-orange?style=flat)</sub></sub> Preserve null-association winners while filtering** When a tag has a newer `null_association`,PR#973:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/routes/insights/report/page.test.ts | apps/web/src/lib/utils/insightMatrixExport.test.ts | backend/tests/test_insights.py | apps/web/src/lib/api/insights.test.ts
973,https://github.com/Sturmi77/correlcore/pull/973#discussion_r4062351453,Inline,apps/web/src/routes/insights/report/+page.svelte,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kW-hZ,true,offen – Fix/Regressionstest prüfen,,,"**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub></sub> Restore selection after a failed refresh** After the initial load, a transient pull-to-refres",PR#973:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/routes/insights/report/page.test.ts | apps/web/src/lib/utils/insightMatrixExport.test.ts | backend/tests/test_insights.py | apps/web/src/lib/api/insights.test.ts
973,https://github.com/Sturmi77/correlcore/pull/973#discussion_r4062351464,Inline,backend/app/services/insight_service.py,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kW-hh,true,offen – Fix/Regressionstest prüfen,,,**<sub><sub>![P1 Badge](https://img.shields.io/badge/P1-orange?style=flat)</sub></sub> Apply the family filter before the database fetch cap** For users whose newest-subject query,PR#973:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/routes/insights/report/page.test.ts | apps/web/src/lib/utils/insightMatrixExport.test.ts | backend/tests/test_insights.py | apps/web/src/lib/api/insights.test.ts
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5266898933,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,### 💡 Codex Review Here are some automated review suggestions for this pull request. **Reviewed commit:** `4555192ca5` <details> <summary>ℹ️ About Codex in GitHub</summary> <br/>,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5266898933 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#discussion_r4062351478,Inline,apps/web/src/lib/api/insights.ts,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kW-ho,true,offen – Fix/Regressionstest prüfen,,,"**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub></sub> Scope the new filter to the latest endpoint** `buildQuery` is also used by `listInsights`, so",PR#973:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/routes/insights/report/page.test.ts | apps/web/src/lib/utils/insightMatrixExport.test.ts | backend/tests/test_insights.py | apps/web/src/lib/api/insights.test.ts
973,https://github.com/Sturmi77/correlcore/pull/973#issuecomment-5760943213,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,"Die drei verbliebenen Fokus-Punkte der Risikoeinschätzung sind jetzt belegt statt von Hand zu prüfen. **1 · `insight_types=None` liefert weiter jede Familie, und der Filter läuft v",PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#issuecomment-5760943213 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5266927534,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,<details> <summary>Stale comment</summary> <blockquote> ## PR risk assessment (re-eval after synchronize) **Risk: Medium** — human review required. Not approved. Re-evaluated from,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5266927534 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#discussion_r4062435203,Inline,backend/app/services/insight_service.py,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kW-hS,true,offen – Fix/Regressionstest prüfen,,,"Stimmt, und das war der ernsteste der vier — behoben in `f9a1e22f`. Der Filter lief am Kopf der Winner-Schleife, also **bevor** `_latest_family_key` die beiden Zeilen auf denselben",PR#973:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/routes/insights/report/page.test.ts | apps/web/src/lib/utils/insightMatrixExport.test.ts | backend/tests/test_insights.py | apps/web/src/lib/api/insights.test.ts
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267007341,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267007341 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#discussion_r4062436430,Inline,backend/app/services/insight_service.py,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kW-hh,true,offen – Fix/Regressionstest prüfen,,,Stimmt — behoben in `f9a1e22f`. Ich hatte `newest_insight_per_subject_stmt` als unbegrenzt gelesen; sie endet auf `.limit(MAX_INSIGHT_LIST_LIMIT)` (200). Damit war die PR-Zusage „F,PR#973:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/routes/insights/report/page.test.ts | apps/web/src/lib/utils/insightMatrixExport.test.ts | backend/tests/test_insights.py | apps/web/src/lib/api/insights.test.ts
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267008926,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267008926 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#discussion_r4062438096,Inline,apps/web/src/routes/insights/report/+page.svelte,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kW-hZ,true,offen – Fix/Regressionstest prüfen,,,"Stimmt — behoben in `f9a1e22f`, und der Fall war in meinen Tests genau falsch herum abgedeckt. Ablauf wie beschrieben: der `catch` setzte `insights = []`, der Pruning-Block warf da",PR#973:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/routes/insights/report/page.test.ts | apps/web/src/lib/utils/insightMatrixExport.test.ts | backend/tests/test_insights.py | apps/web/src/lib/api/insights.test.ts
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267011266,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267011266 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#discussion_r4062438568,Inline,apps/web/src/lib/api/insights.ts,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kW-ho,true,offen – Fix/Regressionstest prüfen,,,"Stimmt — behoben in `f9a1e22f`. `insightTypes` hing am gemeinsamen `InsightListQuery`, also hat der Typ die Option auch für `listInsights` angeboten, wo `/insights` nur `limit` dek",PR#973:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/routes/insights/report/page.test.ts | apps/web/src/lib/utils/insightMatrixExport.test.ts | backend/tests/test_insights.py | apps/web/src/lib/api/insights.test.ts
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267011908,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267011908 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267020125,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,<details> <summary>Stale comment</summary> <blockquote> ## PR risk assessment (re-eval after synchronize) **Risk: Medium** — human review required. Not approved. Re-evaluated from,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267020125 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#issuecomment-5761112252,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,"Zur Neubewertung nach `f9a1e22f` — die vier verbliebenen Fokus-Punkte, drei davon bereits belegt, einer neu und berechtigt. **1 · Ohne Filter bleibt alles wie vorher.** Zwei Tests,",PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#issuecomment-5761112252 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267053999,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,<details> <summary>Stale comment</summary> <blockquote> ## PR risk assessment (re-eval after synchronize) **Risk: Medium** — human review required. Not approved. Re-evaluated from,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5267053999 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5268717630,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,<details> <summary>Stale comment</summary> <blockquote> ## PR risk assessment (re-eval after synchronize) **Risk: Medium** — human review required. Not approved. Re-evaluated from,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5268717630 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#issuecomment-5763372301,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,"Der letzte Fokus-Punkt der Risikoeinschätzung — „spot-check a multi-page **WinAnsi** PDF in a real reader"" — hat eine echte Lücke getroffen, die ich geschlossen habe. Meine bisheri",PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#issuecomment-5763372301 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5268763288,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,<!-- CURSOR_AUTOMATION_ID: 8040bfce-1dbd-47b2-9b9d-3569b54c343f | RUN_ID: bc-3bfadfd1-471f-4de0-8c87-67b622ec6755 --> ## PR risk assessment (re-eval after synchronize) **Risk: Medi,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5268763288 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
972,https://github.com/Sturmi77/correlcore/pull/972#pullrequestreview-5261345451,Review/Antwort,,AUD-13,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,"<details> <summary>Stale comment</summary> <blockquote> ## Risk assessment **Risk: Medium** — human review required. Not approved. ### Evidence (from the diff, not the PR text) 16",PR#972:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/972#pullrequestreview-5261345451 | AUD-13 -> A04/A06 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994
972,https://github.com/Sturmi77/correlcore/pull/972#discussion_r4057701079,Inline,apps/web/src/lib/components/trends/UnifiedStripChart.svelte,AUD-13,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kLD0F,true,offen – Fix/Regressionstest prüfen,,,**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub></sub> Preserve valid sleep durations above 12 hours** When a user logs or imports 721–1440 minutes,PR#972:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/lib/components/trends/UnifiedStripChart.test.ts | apps/web/src/lib/components/trends/EventAlignedSmallMultiplesSheet.test.ts
972,https://github.com/Sturmi77/correlcore/pull/972#discussion_r4057701081,Inline,apps/web/src/lib/components/trends/EventAlignedSmallMultiplesSheet.svelte,AUD-13,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kLD0H,true,offen – Fix/Regressionstest prüfen,,,"**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub></sub> Include opacity in the sequential legend** When fewer than 14 nights are logged, `SequentialC",PR#972:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/lib/components/trends/UnifiedStripChart.test.ts | apps/web/src/lib/components/trends/EventAlignedSmallMultiplesSheet.test.ts
972,https://github.com/Sturmi77/correlcore/pull/972#pullrequestreview-5261352157,Review/Antwort,,AUD-13,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,### 💡 Codex Review Here are some automated review suggestions for this pull request. **Reviewed commit:** `68f31602d4` <details> <summary>ℹ️ About Codex in GitHub</summary> <br/>,PR#972:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/972#pullrequestreview-5261352157 | AUD-13 -> A04/A06 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994
972,https://github.com/Sturmi77/correlcore/pull/972#issuecomment-5751738388,Review/Antwort,,AUD-13,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,"Die fünf Review-Focus-Punkte aus der Risikoeinschätzung durchgegangen. Einer war ein echter Befund und ist gefixt (`1e683e56`), vier sind gewollt — hier die Belege, damit sie beim",PR#972:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/972#issuecomment-5751738388 | AUD-13 -> A04/A06 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994
972,https://github.com/Sturmi77/correlcore/pull/972#pullrequestreview-5261353638,Review/Antwort,,AUD-13,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,<details> <summary>Stale comment</summary> <blockquote> ## Risk assessment (re-eval after `1e683e56`) **Risk: Medium** — human review still required. Not approved. This is a synchr,PR#972:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/972#pullrequestreview-5261353638 | AUD-13 -> A04/A06 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994
972,https://github.com/Sturmi77/correlcore/pull/972#discussion_r4057716258,Inline,apps/web/src/lib/components/trends/UnifiedStripChart.svelte,AUD-13,"PR-Kontext, Einzelprüfung A11 offen",PRRT_kwDOSH3SD86kLD0F,true,offen – Fix/Regressionstest prüfen,,,"Stimmt, behoben in `56d347fe`. Der Schlaf läuft jetzt durchgehend in Rohminuten: `sleepDurationScale` liefert Median und Spreizung ohnehin schon ungeclampt, die konfigurieren den M",PR#972:preserved-regression,behoben; Regressionstest auf main verankert,apps/web/src/lib/components/trends/UnifiedStripChart.test.ts | apps/web/src/lib/components/trends/EventAlignedSmallMultiplesSheet.test.ts
