pfad,quelleBranch,quelleHead,urheber,arbeitsstand,vorlaeufigesPaket,status,fixCommit,testnachweis
apps/web/src/routes/insights/page.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A10,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/routes/insights/report/+page.svelte,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A05,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/routes/insights/signal/[id]/+page.svelte,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/routes/trends/+page.svelte,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A08,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/tests/e2e/user-journeys.spec.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A10,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/api/v1/endpoints/entries.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/api/v1/endpoints/insights.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/api/v1/endpoints/sync.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A08,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/schemas/habit.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/schemas/stats.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/export_service.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A05,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/habit_service.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/insight_dismissal_service.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A03,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/insight_sections.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/insight_service.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/insights/belastung.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/insights/changepoint.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/insights/shared.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/stats_service.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/sync_service.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A08,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/app/services/user_preferences_service.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A03,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/tests/test_export_service.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A05,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/tests/test_habits.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/tests/test_insight_engine.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A10,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/tests/test_insight_sections.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A10,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/tests/test_insights.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A10,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/tests/test_phase8_belastung.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
backend/tests/test_stats_service.py,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
packages/api-types/openapi.json,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
packages/api-types/src/schema.d.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
